pc,expr_R2,morans_raw,p_raw,morans_resid,p_resid
1,0.2342982292175293,0.2862659737761159,0.001,0.13349209756677327,0.001
2,0.390674889087677,0.43046558074880603,0.001,0.2189217734588671,0.001
3,0.5159102082252502,0.5735127109647344,0.001,0.2582531060754677,0.001
4,0.2365785837173462,0.3765432374042084,0.001,0.27997479099329964,0.001
5,0.3319874405860901,0.18998808804641917,0.001,0.08419949307188228,0.001
6,0.06779402494430542,0.07475782927164333,0.002,0.062127380795129646,0.016
7,0.1760273575782776,0.12376401785696983,0.001,0.07726043918015657,0.002
8,0.04965311288833618,0.02863445845059408,0.882,0.03541881703924864,0.681
9,0.09960758686065674,0.09165881969683519,0.001,0.05047129405711264,0.085
10,0.08394640684127808,0.07330808862558345,0.002,0.04396572311319128,0.249
11,0.09963834285736084,0.0808179516090122,0.001,0.040051180590279185,0.45
12,0.04820805788040161,0.11421126730993526,0.001,0.09506304810007025,0.001
13,0.03644716739654541,0.1000277830519599,0.001,0.06744764975197297,0.004
14,0.0418778657913208,0.018089138766829677,0.365,0.02247418720010002,0.553
15,0.03579622507095337,0.0767293249577688,0.001,0.06082986232222111,0.016
16,0.08560723066329956,0.13484487830891262,0.001,0.07476170979502116,0.001
17,0.020844697952270508,0.05287168541047775,0.066,0.045711406559287404,0.237
18,0.030024349689483643,0.08974934530513723,0.001,0.0730708255994247,0.002
19,0.02365356683731079,0.06953040378202639,0.005,0.062260877541236194,0.003
20,0.052978694438934326,0.1164538305736757,0.001,0.08560593383153141,0.001
