pc,expr_R2,morans_raw,p_raw,morans_resid,p_resid
1,0.39947426319122314,0.24089898512645458,0.001,0.1179846844834033,0.001
2,0.5945432186126709,0.3076685908621401,0.001,0.14396657806190463,0.001
3,0.447807252407074,0.2682794842414762,0.001,0.22373992021850572,0.001
4,0.08089882135391235,0.5812410586947618,0.001,0.6247706126320773,0.001
5,0.4093638062477112,0.1728252980869422,0.001,0.16470210605562444,0.001
6,0.14303845167160034,0.30330817053538844,0.001,0.15925377045223463,0.001
7,0.17569315433502197,0.2608200154751021,0.001,0.13438966699331206,0.001
8,0.1508312225341797,0.135657864796835,0.001,0.11236737848072637,0.001
9,0.11495715379714966,0.20529741686605443,0.001,0.1227146672974769,0.001
10,0.20341110229492188,0.1386451155078657,0.001,0.12104375560057112,0.001
11,0.0962253212928772,0.16406269256353903,0.001,0.09840791737130757,0.001
12,0.12407082319259644,0.11097416927045206,0.001,0.10050298745260922,0.001
13,0.019954442977905273,0.06931255950523284,0.001,0.06332143453741233,0.001
14,0.05363810062408447,0.09135166677963942,0.001,0.07021547244270211,0.001
15,0.045266151428222656,0.10707490870465966,0.001,0.0932015051544331,0.001
16,0.03658264875411987,0.08830442203711562,0.001,0.06278795596211338,0.001
17,0.009670019149780273,0.05103155648080658,0.013,0.04869825866462646,0.024
18,0.047727882862091064,0.08580224034528092,0.001,0.07302607668399168,0.001
19,0.03958022594451904,0.05409331241211125,0.002,0.04956874896045604,0.025
20,0.03793567419052124,0.08486152648575601,0.001,0.06159876406201287,0.001
