section,n_cells,n_pairs,r_pearson,subtype
H20.33.004.Cx26.MTG.02.007.1.02.04,85,3570,-0.022969922050833702,Astrocyte
H20.33.004.Cx26.MTG.02.007.1.01.04,76,2850,0.049474041908979416,Astrocyte
H20.33.004.Cx26.MTG.02.007.1.02.03,71,2485,0.02590738981962204,Astrocyte
H20.33.004.Cx26.MTG.02.007.1.01.05,44,946,0.04180631414055824,Astrocyte
H20.33.004.Cx26.MTG.02.007.1.02.02,78,3003,0.03484738990664482,Astrocyte
H20.33.015.CX24.MTG.02.007.1.03.01,76,2850,-0.012471890076994896,Astrocyte
H20.33.015.CX24.MTG.02.007.1.03.03,41,820,-0.024875154718756676,Astrocyte
H20.33.015.CX24.MTG.02.007.1.03.02,95,4465,0.013736702501773834,Astrocyte
H20.33.025.Cx28.MTG.02.007.1.01.06,69,2346,0.02337626926600933,Astrocyte
H20.33.025.Cx28.MTG.02.007.1.01.02,78,3003,0.054005756974220276,Astrocyte
H20.33.025.Cx28.MTG.02.007.1.01.04,88,3828,-0.01904468983411789,Astrocyte
H21.33.001.Cx22.MTG.02.007.1.01.04,45,990,0.04747564345598221,Astrocyte
H21.33.001.Cx22.MTG.02.007.1.01.03,59,1711,-0.0004125375999137759,Astrocyte
H21.33.006.Cx28.MTG.02.007.1.01.09.04,132,8646,-0.013173958286643028,Astrocyte
H21.33.006.Cx28.MTG.02.007.1.01.09.02,94,4371,0.03371633216738701,Astrocyte
H21.33.019.Cx30.MTG.02.007.5.0,270,36315,-0.0017648584907874465,Astrocyte
H21.33.019.Cx30.MTG.02.007.5.1,319,50721,0.029385952278971672,Astrocyte
H20.33.001.CX28.MTG.02.007.1.02.03,468,109278,0.030519073829054832,L2/3 IT
H20.33.001.Cx28.MTG.02.007.1.01.03,409,83436,-0.012859322130680084,L2/3 IT
H20.33.001.CX28.MTG.02.007.1.02.02,461,106030,-0.054179225116968155,L2/3 IT
H20.33.004.Cx26.MTG.02.007.1.01.04,387,74691,0.006181975826621056,L2/3 IT
H20.33.004.Cx26.MTG.02.007.1.02.03,557,154846,0.015187454409897327,L2/3 IT
H20.33.004.Cx26.MTG.02.007.1.01.05,229,26106,-0.0034647078718990088,L2/3 IT
H20.33.004.Cx26.MTG.02.007.1.02.04,581,168490,0.03089948371052742,L2/3 IT
H20.33.004.Cx26.MTG.02.007.1.02.02,144,10296,0.06604956835508347,L2/3 IT
H20.33.012.Cx24.MTG.02.007.1.03.03,371,68635,-0.017231108620762825,L2/3 IT
H20.33.012.Cx24.MTG.02.007.1.03.02,321,51360,0.012478958815336227,L2/3 IT
H20.33.012.Cx24.MTG.02.007.1.01.01,389,75466,-0.005030896048992872,L2/3 IT
H20.33.015.CX24.MTG.02.007.1.03.01,731,266815,-0.009137758053839207,L2/3 IT
H20.33.015.CX24.MTG.02.007.1.03.03,445,98790,0.012639515101909637,L2/3 IT
H20.33.015.CX24.MTG.02.007.1.03.02,836,349030,0.01667596399784088,L2/3 IT
H20.33.025.Cx28.MTG.02.007.1.01.04,952,452676,0.012642785906791687,L2/3 IT
H20.33.025.Cx28.MTG.02.007.1.01.02,682,232221,0.03439553081989288,L2/3 IT
H20.33.025.Cx28.MTG.02.007.1.01.06,831,344865,0.036477744579315186,L2/3 IT
H20.33.044.Cx26.MTG.02.007.1.01.02,31,465,0.03523154556751251,L2/3 IT
H20.33.044.Cx26.MTG.02.007.1.01.03,55,1485,-0.03495945408940315,L2/3 IT
H21.33.001.Cx22.MTG.02.007.1.01.04,412,84666,0.02717154286801815,L2/3 IT
H21.33.001.Cx22.MTG.02.007.1.01.03,316,49770,0.016386987641453743,L2/3 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.04,1297,840456,0.004998902790248394,L2/3 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.02,723,261003,0.010778328403830528,L2/3 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.03,247,30381,-0.012791748158633709,L2/3 IT
H21.33.019.Cx30.MTG.02.007.5.1,1162,674541,0.02498563751578331,L2/3 IT
H21.33.019.Cx30.MTG.02.007.5.0,1160,672220,-0.00027788759325630963,L2/3 IT
H20.33.001.CX28.MTG.02.007.1.02.03,220,24090,-0.021210238337516785,L4 IT
H20.33.001.Cx28.MTG.02.007.1.01.03,133,8778,0.052441295236349106,L4 IT
H20.33.001.CX28.MTG.02.007.1.02.02,196,19110,-0.007239821832627058,L4 IT
H20.33.004.Cx26.MTG.02.007.1.02.04,236,27730,0.00445849634706974,L4 IT
H20.33.004.Cx26.MTG.02.007.1.02.02,136,9180,0.04439045488834381,L4 IT
H20.33.004.Cx26.MTG.02.007.1.02.03,215,23005,-0.0436861626803875,L4 IT
H20.33.004.Cx26.MTG.02.007.1.01.04,93,4278,-0.0026030060835182667,L4 IT
H20.33.004.Cx26.MTG.02.007.1.01.05,109,5886,-0.005566256120800972,L4 IT
H20.33.012.Cx24.MTG.02.007.1.03.02,211,22155,-0.015011541545391083,L4 IT
H20.33.012.Cx24.MTG.02.007.1.01.01,287,41041,-0.001580913900397718,L4 IT
H20.33.012.Cx24.MTG.02.007.1.03.03,253,31878,0.015319518744945526,L4 IT
H20.33.015.CX24.MTG.02.007.1.03.03,220,24090,0.02092786878347397,L4 IT
H20.33.015.CX24.MTG.02.007.1.03.02,377,70876,0.026474623009562492,L4 IT
H20.33.015.CX24.MTG.02.007.1.03.01,290,41905,-0.002144671743735671,L4 IT
H20.33.025.Cx28.MTG.02.007.1.01.02,376,70500,0.015274042263627052,L4 IT
H20.33.025.Cx28.MTG.02.007.1.01.04,425,90100,-0.022461125627160072,L4 IT
H20.33.025.Cx28.MTG.02.007.1.01.06,394,77421,-0.02017887495458126,L4 IT
H21.33.001.Cx22.MTG.02.007.1.01.03,317,50086,0.017177727073431015,L4 IT
H21.33.001.Cx22.MTG.02.007.1.01.04,220,24090,-0.008568772114813328,L4 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.04,313,48828,-0.017021920531988144,L4 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.03,44,946,-0.0361359678208828,L4 IT
H21.33.006.Cx28.MTG.02.007.1.01.09.02,178,15753,-0.007294932845979929,L4 IT
H21.33.019.Cx30.MTG.02.007.5.0,352,61776,-0.03747483715415001,L4 IT
H21.33.019.Cx30.MTG.02.007.5.1,379,71631,0.002940987003967166,L4 IT
H20.33.012.Cx24.MTG.02.007.1.03.02,76,2850,-0.011214650236070156,Oligodendrocyte
H20.33.012.Cx24.MTG.02.007.1.03.03,105,5460,0.010506507940590382,Oligodendrocyte
H20.33.012.Cx24.MTG.02.007.1.01.01,61,1830,0.028917552903294563,Oligodendrocyte
H20.33.015.CX24.MTG.02.007.1.03.02,91,4095,-0.051322031766176224,Oligodendrocyte
H20.33.015.CX24.MTG.02.007.1.03.03,32,496,-0.04355204105377197,Oligodendrocyte
H20.33.015.CX24.MTG.02.007.1.03.01,81,3240,0.04502473399043083,Oligodendrocyte
H20.33.025.Cx28.MTG.02.007.1.01.02,161,12880,-0.013533297926187515,Oligodendrocyte
H20.33.025.Cx28.MTG.02.007.1.01.06,99,4851,0.018328670412302017,Oligodendrocyte
H20.33.025.Cx28.MTG.02.007.1.01.04,142,10011,-0.002842919435352087,Oligodendrocyte
H21.33.001.Cx22.MTG.02.007.1.01.04,41,820,-0.034737784415483475,Oligodendrocyte
H21.33.001.Cx22.MTG.02.007.1.01.03,45,990,-0.08296114206314087,Oligodendrocyte
H21.33.006.Cx28.MTG.02.007.1.01.09.04,522,135981,-0.014246311970055103,Oligodendrocyte
H21.33.006.Cx28.MTG.02.007.1.01.09.02,308,47278,-0.024605613201856613,Oligodendrocyte
H21.33.006.Cx28.MTG.02.007.1.01.09.03,55,1485,0.008943318389356136,Oligodendrocyte
H21.33.019.Cx30.MTG.02.007.5.0,230,26335,-0.01193692535161972,Oligodendrocyte
H21.33.019.Cx30.MTG.02.007.5.1,191,18145,-0.024649012833833694,Oligodendrocyte
