space,pc,var_explained,morans_I,E_perm,p_perm
GRN,1,0.0008197098504751921,0.42344594970227256,0.02766259062570402,0.001
GRN,2,0.007437523920089006,0.5524848680695389,0.0275870586886067,0.001
GRN,3,0.004038987681269646,0.1144051143900982,0.026897048158751564,0.001
GRN,4,0.003895990550518036,0.2314960938806476,0.027083457379921023,0.001
GRN,5,0.0034440543968230486,0.1958899462277264,0.027161447670321193,0.001
GRN,6,0.0032340141478925943,0.12368448569573763,0.027279439460291297,0.001
GRN,7,0.0030540977604687214,0.18225170732717816,0.027774168949370556,0.001
GRN,8,0.002957205753773451,0.03460936909165564,0.02688312989191861,0.472
GRN,9,0.002744019264355302,0.08479681447604476,0.02698000013438153,0.001
GRN,10,0.0026441803202033043,0.07137452355514014,0.027051922649971607,0.001
GRN,11,0.0025577275082468987,0.08264045753395108,0.027473257760515818,0.001
GRN,12,0.00249058217741549,0.038921615756823735,0.026615140409400335,0.262
GRN,13,0.00239932700060308,0.0880289869705341,0.02747678584926191,0.001
GRN,14,0.002372042741626501,0.07096404013422727,0.027757100734263643,0.003
GRN,15,0.0023330890107899904,0.030274426143117993,0.027438147721251065,0.795
GRN,16,0.002284466288983822,0.05883528243642402,0.027580157228266605,0.005
GRN,17,0.0022660212125629187,0.0466269403368981,0.026889944618396788,0.078
GRN,18,0.002172980923205614,0.029044647819242066,0.027649215971962786,0.903
GRN,19,0.0020704788621515036,0.026362826478267112,0.027650796395172386,0.916
GRN,20,0.0020485552959144115,0.03427981004480873,0.027432671072520197,0.527
expression,1,0.32905542850494385,0.15915878186511762,0.028102233648907002,0.001
expression,2,0.08683956414461136,0.20683032808170723,0.027324765007678515,0.001
expression,3,0.06342177838087082,0.1319015665440001,0.027591739365104697,0.001
expression,4,0.05610862001776695,0.2523244151296572,0.026844955862519566,0.001
expression,5,0.0428415909409523,0.1564399804545678,0.026812393686628917,0.001
expression,6,0.03713129088282585,0.07647214884496521,0.02787966369060811,0.001
expression,7,0.03306035324931145,0.1025566900228787,0.02822699333452781,0.001
expression,8,0.030461445450782776,0.06182182556280617,0.02783423083506532,0.005
expression,9,0.029184699058532715,0.05685754937303983,0.02742930140504731,0.014
expression,10,0.02601812593638897,0.0886485006279817,0.027444043600797295,0.001
expression,11,0.0241555143147707,0.03419386071639638,0.02775059954412449,0.559
expression,12,0.01883227936923504,0.06815347840819314,0.02756299935851997,0.002
expression,13,0.01653544045984745,0.06232527183467941,0.027457001978740892,0.002
expression,14,0.014778858050704002,0.03876774664102558,0.02756632371682751,0.327
expression,15,0.012773721478879452,0.04507304963175885,0.02681238266497364,0.108
expression,16,0.012082539498806,0.04139474285118423,0.027719682486822182,0.212
expression,17,0.01174196321517229,0.03644055591317683,0.027355088676534616,0.432
expression,18,0.01095553021878004,0.0433537177085408,0.0268348713876383,0.16
expression,19,0.010424604639410973,0.06224976209891616,0.02747093055822507,0.003
expression,20,0.009584162384271622,0.04043908022002762,0.027008361249158192,0.24
