subtype,spatial_k,cluster_k,morans_meanI,morans_maxI,morans_sig,n_pcs,purity,purity_null,purity_p
Astrocyte,4,5,0.16825454876206897,0.5844599828291437,16,20,0.6954937938478144,0.5513636950496098,0.001
Astrocyte,6,5,0.15511122069588226,0.5735127109647344,17,20,0.6894007558034911,0.544672799486548,0.001
Astrocyte,8,5,0.1441330470823418,0.572743300514048,17,20,0.6875169055991345,0.5414854941498165,0.001
Astrocyte,10,5,0.13923689622056107,0.5657173827065372,17,20,0.6843245585527028,0.5396148504695791,0.001
Astrocyte,15,5,0.13399454582024561,0.5611170228806294,17,20,0.6815774198229575,0.536571217858404,0.001
L2/3 IT,4,2,0.19499946098163776,0.5906747371838937,20,20,0.641099550056243,0.5344038498566058,0.001
L2/3 IT,6,2,0.17607555273888068,0.5812410586947618,20,20,0.6322647169103862,0.5252662204761943,0.001
L2/3 IT,8,2,0.16737408230512868,0.5733386895879531,20,20,0.6265906214848144,0.5207068974908542,0.001
L2/3 IT,10,2,0.16195648833527937,0.5723027256244121,20,20,0.6224479752530934,0.5178382896394708,0.001
L2/3 IT,15,2,0.15375500364182676,0.5735411696657347,20,20,0.6167182227221597,0.5138936367938993,0.001
L4 IT,4,4,0.1723355433501857,0.6428678415299801,18,20,0.6623409034190167,0.5836238451245522,0.001
L4 IT,6,4,0.1597795712240762,0.6330502719671179,20,20,0.6551858014420411,0.5783671358546566,0.001
L4 IT,8,4,0.1531541118405441,0.633276664373158,20,20,0.6514414077124673,0.5753724730179658,0.001
L4 IT,10,4,0.14711449185445952,0.6259241905726008,20,20,0.6473974973375932,0.5736662014783687,0.001
L4 IT,15,4,0.14049430329458132,0.6220166212191639,20,20,0.6394641628376728,0.5712960191107181,0.001
Oligodendrocyte,4,8,0.1346086314618628,0.5560285362075783,13,20,0.46766694843617923,0.3306111479188402,0.001
Oligodendrocyte,6,8,0.1260208953035167,0.5524848680695389,13,20,0.45892630689023534,0.32207986484441326,0.001
Oligodendrocyte,8,8,0.12095759191902564,0.5522527905811174,14,20,0.4536939034716342,0.3173708742612214,0.001
Oligodendrocyte,10,8,0.1155781626400717,0.5512703142705501,14,20,0.44787693872362067,0.3147713778699455,0.001
Oligodendrocyte,15,8,0.10917248214565908,0.547392785950875,14,20,0.4479013045944413,0.31071746732552175,0.001
