subtype,cluster,severity,spearman_r,p,N,fdr_q
Astrocyte,c0,Braak,0.7589709258986453,0.08014122805832381,6,0.6190589733500536
Astrocyte,c0,Thal,0.753702346348183,0.0835232813732598,6,0.6190589733500536
Astrocyte,c0,CERAD,0.8533103351879245,0.03069856297267791,6,0.6190589733500536
Astrocyte,c0,ADNC,0.7171371656006363,0.1087009513249235,6,0.6190589733500536
Astrocyte,c0,CPS,0.8285714285714287,0.04156268221574334,6,0.6190589733500536
Astrocyte,c0,sevPC1,0.7714285714285715,0.07239650145772594,6,0.6190589733500536
Astrocyte,c0,sevPC2,-0.2571428571428572,0.6227871720116618,6,0.8434988143518731
Astrocyte,c0,tau_minus_amyloid,0.2,0.704,6,0.8537829464053279
Astrocyte,c1,Braak,-0.2732295333235123,0.6003545904291114,6,0.8434988143518731
Astrocyte,c1,Thal,-0.23190841426097938,0.658373571260927,6,0.8537829464053279
Astrocyte,c1,CERAD,-0.7356123579206245,0.09561078073827967,6,0.6190589733500536
Astrocyte,c1,ADNC,-0.35856858280031817,0.4851979632652574,6,0.7883619920271318
Astrocyte,c1,CPS,-0.2571428571428572,0.6227871720116618,6,0.8434988143518731
Astrocyte,c1,sevPC1,-0.3714285714285715,0.46847813411078715,6,0.7883619920271318
Astrocyte,c1,sevPC2,0.5428571428571429,0.26570262390670557,6,0.7883619920271318
Astrocyte,c1,tau_minus_amyloid,0.2,0.704,6,0.8537829464053279
Astrocyte,c2,Braak,0.0,1.0,6,1.0
Astrocyte,c2,Thal,-0.1323529411764706,0.8026298213922247,6,0.8778830860615703
Astrocyte,c2,CERAD,0.40302996796790913,0.4281877626925889,6,0.7883619920271318
Astrocyte,c2,ADNC,0.18190171877724975,0.7301568252697784,6,0.8537829464053279
Astrocyte,c2,CPS,-0.20291986247835694,0.699797968157019,6,0.8537829464053279
Astrocyte,c2,sevPC1,0.05797710356524484,0.9131317851623264,6,0.9528331671259059
Astrocyte,c2,sevPC2,-0.3768511731740915,0.46148284035080467,6,0.7883619920271318
Astrocyte,c2,tau_minus_amyloid,-0.20291986247835694,0.699797968157019,6,0.8537829464053279
Astrocyte,c3,Braak,-0.41736500618415145,0.4103036364236828,6,0.7883619920271318
Astrocyte,c3,Thal,-0.3985266984930429,0.43385766067017734,6,0.7883619920271318
Astrocyte,c3,CERAD,-0.674199862463242,0.14192744777405547,6,0.6190589733500536
Astrocyte,c3,ADNC,-0.5477225575051663,0.2605745473680252,6,0.7883619920271318
Astrocyte,c3,CPS,-0.6546536707079772,0.15830242337545783,6,0.6190589733500536
Astrocyte,c3,sevPC1,-0.39279220242478635,0.4411128091213043,6,0.7883619920271318
