subtype,donor,section,pc,morans_I,CPS
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,1,0.060500931242014507,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,2,-0.021850932970973957,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,3,-0.04398126350295568,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,4,-0.027972469542117684,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,5,0.0033697132910142443,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,6,-0.027725968486798466,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,7,-0.05304489959236792,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,8,-0.01297581436772404,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,9,-0.048193706787343776,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,10,0.002641068966139234,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,11,0.10891727455620161,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,12,-0.05921917802172148,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,13,0.026956970691749137,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,14,0.017396882352947306,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,15,-0.007004756035838642,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,16,0.04678396040164377,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,17,0.13864812028422654,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,18,0.08872922531789335,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,19,0.06638109877408327,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.02.04,20,0.0894372539634001,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.01.04,1,0.030260799313012208,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.01.04,2,0.02460488377295932,0.725005699
Astrocyte,H20.33.004,H20.33.004.Cx26.MTG.02.007.1.01.04,3,0.09855810471426413,0.725005699
