subtype,donor,n_cells,n_sections,n_pcs,wI_mean,mean_topI5,mean_topI10,mean_sigpcs,vw_mean,mean_top3,mean_top5,mean_top10,median_I,mean_I,max_I,CPS
Astrocyte,H20.33.004,354,5,20,0.030874574247075015,0.02088077378712419,0.027764960560414876,0.03514656960762988,0.031305834940729665,0.027571594228451346,0.02088077378712419,0.019070913106038746,0.03221444916699846,0.035966705948778495,0.09016369203341894,0.725005699
Astrocyte,H20.33.015,212,3,20,0.05917213767515165,0.06646554311354001,0.05092962737163277,0.0476422293805181,0.0468198149984542,0.0696746952037884,0.06646554311354001,0.04984734152136813,0.04585392640153526,0.04206314571365963,0.13673514134783163,0.878967566
Astrocyte,H20.33.025,235,3,20,0.04460515807690433,0.057290372307869174,0.04969658806756595,0.03971724008809875,0.03897418179399874,0.04113377166034463,0.057290372307869174,0.037221490885228144,0.03273298285882867,0.0392261706306899,0.10933393597728289,0.588881872
Astrocyte,H21.33.001,104,2,20,0.03550824106300623,0.06292086971636919,0.027254359003340577,0.020205072922398183,0.024371783913320795,0.045321784240821394,0.0629208697163692,0.037542477162605725,0.005135883819107307,0.009919631643100758,0.10303282193109554,0.149616331
Astrocyte,H21.33.006,226,2,20,0.07430307010145563,0.08593377291164059,0.0791459011612773,0.06278591829529877,0.0711715878358456,0.07512194864727484,0.0859337729116406,0.07251892148599864,0.05423738323418325,0.062151277748959864,0.1443580549825097,0.838095749
Astrocyte,H21.33.019,589,2,20,0.06221562761346737,0.08202586260176783,0.06510010036484283,0.05282069611631674,0.057387538792512106,0.057652534856303846,0.08202586260176782,0.06034683726980981,0.04247727916409565,0.04610648075318048,0.14616370722469735,0.517476286
L2/3 IT,H20.33.001,1338,3,20,0.07164466510911734,0.08947142543223807,0.08545381509700661,0.06500352913299763,0.09064285352944657,0.13719075918366455,0.1132154313357068,0.08296131732533353,0.04901314944312565,0.06500352913299763,0.17704118305745778,0.522888828
L2/3 IT,H20.33.004,1898,5,20,0.08721284356723459,0.12247185038200437,0.10238375515438872,0.0737660492306779,0.12260087827313738,0.2173898787552213,0.15567438683974738,0.10392552714813696,0.0510251117179396,0.0737660492306779,0.2955803958813608,0.725005699
L2/3 IT,H20.33.012,1081,3,20,0.0459532929802667,0.06091609330649918,0.04880475336036512,0.04046022237770003,0.058646692512437384,0.08191175457776988,0.06038747153471434,0.04914164769448896,0.03492220316980722,0.04046022237770003,0.12772391436071703,0.237009997
L2/3 IT,H20.33.015,2012,3,20,0.07847017936024198,0.09602876910928991,0.08613173461150156,0.07109704083847398,0.09672341634663698,0.13537162739718717,0.1110884229974741,0.08665800234581192,0.06155397576486722,0.07109704083847398,0.18776393108253095,0.878967566
L2/3 IT,H20.33.025,2465,3,20,0.1055223046929517,0.1483828631907246,0.12037656731420383,0.08262545124875732,0.13830649285303898,0.2484951283944683,0.1828101508771535,0.12374185320139078,0.04799922779287276,0.08262545124875732,0.32558134626560575,0.588881872
L2/3 IT,H20.33.044,86,2,20,0.0328482982573215,0.042989178260468254,0.0324869004893111,0.01932402513704446,0.0309579367886618,0.048320438923372344,0.07382954342149772,0.02935808224249049,0.020251324562374617,0.01932402513704446,0.12645524581906137,0.355631884
L2/3 IT,H21.33.001,728,2,20,0.05605571420354046,0.06853428238378968,0.06230910130431718,0.04747238799031582,0.07028243911147727,0.08865973579664864,0.06358335079287059,0.06139666226167821,0.03761860726291638,0.04747238799031582,0.16190976330687665,0.149616331
