subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max
Astrocyte,AC021134.1,497,0.028514337585793983,0.022205647964859396,0.205,0.02865245792203995,0.154,16,159,1720,17,-0.015986625956175556,0.018216171667504534,0.11319998501185267
L2/3 IT,AC021134.1,497,0.04252839503734558,0.03711304434764871,0.002,0.03558048613603307,0.02,26,4253,14197,26,-0.0348177971494339,0.03853531668674463,0.08840739051476709
L4 IT,AC021134.1,497,0.028111691299643544,0.022649245221247533,0.01,0.025825637318803274,0.008,24,2835,5974,24,-0.060602389100642196,0.028524631759888064,0.05450847716193132
Oligodendrocyte,AC021134.1,497,0.013519277630513691,0.021062532219544225,0.83,0.001351138836652731,0.944,14,139,2240,16,-0.05345005066104618,0.007167541218543375,0.037387046456598204
Astrocyte,AC110023.1,498,0.022651430629318948,0.021684255907555273,0.01,0.01845245428149753,0.023,17,1713,1720,17,-0.0035752132725474315,0.016215265487549386,0.03581435655068631
L2/3 IT,AC110023.1,498,0.038927462709245575,0.03720940388328851,0.001,0.03129322414238525,0.001,26,14115,14197,26,-0.010571386043622346,0.030839983535393536,0.06719555637588741
L4 IT,AC110023.1,498,0.023432012420994807,0.02273038042510771,0.065,0.019977672833179874,0.099,24,5729,5974,24,-0.015529539042682618,0.020776016202263967,0.03691877788662063
Oligodendrocyte,AC110023.1,498,0.029865968628442777,0.019598130982437054,0.029,0.024875751883273615,0.02,16,531,2240,16,-0.016180935553626635,0.032317523074439275,0.05828645493363329
Astrocyte,AL358075.2,499,0.023027615935631508,0.02168787283969969,0.001,0.018114849132314217,0.05,17,1720,1720,17,-0.0065128693529101335,0.01536975517783123,0.038587432379695065
L2/3 IT,AL358075.2,499,0.03885910367219821,0.03719132308612298,0.001,0.031181934177088994,0.001,26,14197,14197,26,-0.009471526759881346,0.031347873609259114,0.06801906702636669
L4 IT,AL358075.2,499,0.023796674701746193,0.022660180897007273,0.001,0.020382447010135935,0.001,24,5974,5974,24,-0.014026856290485695,0.021587074053315364,0.03544231554253381
Oligodendrocyte,AL358075.2,499,0.02185012726575238,0.02149952019801733,0.121,0.012706651707128131,0.154,16,2240,2240,16,-0.007070090096451906,0.00905569137268698,0.03490520672782403
Astrocyte,CD163,482,0.032321470676694254,0.020966251418179083,0.187,0.03212255465690977,0.214,12,25,1720,17,-0.0247420683851764,0.0336607836479937,0.1594982078853004
L2/3 IT,CD163,482,0.04139070760727256,0.036752996639514174,0.025,0.034030301292098816,0.117,26,2710,14197,26,-0.020414049963947307,0.03368126447220905,0.07668522966705422
L4 IT,CD163,482,0.03307453306046711,0.024024126514901822,0.001,0.02614596959196644,0.045,24,1193,5974,24,-0.038560442071773296,0.029485565359800334,0.07702090009896388
Oligodendrocyte,CD163,482,0.0005402965005646844,0.015126859775537032,0.976,-0.0036772847101692505,0.844,14,34,2240,16,-0.045833333333332824,-0.00891930328928415,0.07649139772740092
Astrocyte,FGF13,498,0.010818288754078026,0.021086032226474958,0.987,0.007964112306554525,0.951,17,716,1720,17,-0.026341507304730647,0.009999226583701865,0.0428660577862982
L2/3 IT,FGF13,498,0.03826211726054677,0.03717946483756704,0.001,0.030584457026505456,0.001,26,14197,14197,26,-0.013223476794791899,0.030874222367699183,0.06704852622177969
L4 IT,FGF13,498,0.02314593164415368,0.022663780731025394,0.001,0.019653264113189944,0.04,24,5974,5974,24,-0.018134562136998704,0.02091330737900883,0.03524816653002662
Oligodendrocyte,FGF13,498,0.025869897844835343,0.021585656092319376,0.165,0.014543193819875835,0.341,16,877,2240,16,-0.02393421241963612,0.014582489219730583,0.07090469939349402
Astrocyte,LINC00278,499,0.022217429780556876,0.02169317291708519,0.091,0.017759938239557224,0.168,17,1720,1720,17,-0.0114964495974767,0.018900426792340854,0.03557010236763543
L2/3 IT,LINC00278,499,0.03890470371912603,0.03719082603763258,0.001,0.03102464754871948,0.001,26,14197,14197,26,-0.012007041367993375,0.03109031844977905,0.06832382758249222
L4 IT,LINC00278,499,0.023736948913433486,0.022659164888840008,0.001,0.020178126407606575,0.001,24,5974,5974,24,-0.01660396266006092,0.021406203607319273,0.03534409267678994
Oligodendrocyte,LINC00278,499,0.021704023463031828,0.021474382972961756,0.245,0.012650953354636823,0.209,16,2240,2240,16,-0.008644654740954535,0.009844751127175961,0.03514900926657007
Astrocyte,LINC02484,494,0.018453685863836188,0.02446501182428779,0.758,0.010710844030780917,0.779,16,141,1720,17,-0.0323363353621555,0.010648486492901371,0.07326238380509607
L2/3 IT,LINC02484,494,0.03879992010037425,0.03668848856207236,0.157,0.03146132870765364,0.249,26,3430,14197,26,-0.012750618413940314,0.03199092191646425,0.08556214129734185
L4 IT,LINC02484,494,0.029234243039013875,0.022721543845121095,0.001,0.025890417147546103,0.001,24,4051,5974,24,-0.00880765479251701,0.026729693858707826,0.060007849419444294
Oligodendrocyte,LINC02484,494,0.009982514566515565,0.020894887831193223,0.855,0.003007927141803766,0.865,14,62,2240,16,-0.04546983138792824,-0.01167105509160066,0.15208333333333648
Astrocyte,ONECUT1,487,0.022633505478581104,0.021701799579552147,0.05,0.01826540084063444,0.075,17,1720,1720,17,-0.006172044844956136,0.017628075147877023,0.03838213790004285
L2/3 IT,ONECUT1,487,0.03819631960563646,0.037200502444769835,0.001,0.030528857279262578,0.001,26,14197,14197,26,-0.01263460147576621,0.030743638403325127,0.0675359931900741
L4 IT,ONECUT1,487,0.02278243034980235,0.022659259823892716,0.324,0.019471713719625704,0.343,24,5974,5974,24,-0.013969659731077196,0.019733239568557638,0.03480152074531422
Oligodendrocyte,ONECUT1,487,0.020729010255374214,0.02146115712226016,0.914,0.011327101289575349,0.927,16,2240,2240,16,-0.008864342666775379,0.008580844645409268,0.03373452961982906
Astrocyte,SCHLAP1,499,0.01590712685634666,0.02201676025382846,0.96,0.008954126466294598,0.982,17,1094,1720,17,-0.043237888280519776,0.015022691112054226,0.044078161865299254
L2/3 IT,SCHLAP1,499,0.03817204945365169,0.037136103648688204,0.001,0.03069841030939215,0.001,26,14121,14197,26,-0.007901801424142764,0.02984221109002981,0.06692452978870718
L4 IT,SCHLAP1,499,0.0236117292975032,0.022664495006047353,0.001,0.019826692814973186,0.021,24,5880,5974,24,-0.01852440759359323,0.020387010568795147,0.03523570827685282
Oligodendrocyte,SCHLAP1,499,0.019305296823810367,0.020541589612537867,0.578,0.008871630462985036,0.65,16,471,2240,16,-0.027804340530188584,0.01372282186843945,0.04006129159831583
Astrocyte,TLL1,499,0.022692948381783814,0.021646227491334526,0.029,0.018290821660552785,0.063,17,1720,1720,17,-0.006474745000204605,0.017737819663818443,0.03861552567630032
L2/3 IT,TLL1,499,0.038442935663792505,0.03717564955058496,0.001,0.030809631416813144,0.001,26,14197,14197,26,-0.011403926475771056,0.030952400825153416,0.06730362170169725
L4 IT,TLL1,499,0.02319666040653474,0.022655218839472253,0.009,0.01980374880452824,0.045,24,5974,5974,24,-0.01408063859505472,0.02070971675456993,0.035633967581954494
Oligodendrocyte,TLL1,499,0.02119510317746909,0.021432625729049835,0.678,0.012000157502906715,0.692,16,2240,2240,16,-0.00824226289388045,0.008295803727056758,0.034361796265046415
