regulator,target,w_c0,w_c1,dom_cluster,substantial,bucking
AC106845.1,PRDM16,2.4667255812364973e-05,8.872304048025932e-07,0,False,False
AC106845.1,RNF220,2.5947534328707308e-05,1.2450967120143514e-05,0,False,False
AC106845.1,AL358075.2,7.696829295814588e-06,1.1169391102767037e-05,0,False,False
AC106845.1,NFIA,2.4558122370818842e-05,1.4141409333103282e-05,0,False,False
AC106845.1,ROR1,3.2643465826213614e-05,4.1231883449616465e-06,0,True,False
AC106845.1,PTGER3,2.112131186591722e-05,1.5770864376263585e-05,0,False,False
AC106845.1,AL591463.1,5.691295600070367e-06,1.4299905198536014e-05,0,False,False
AC106845.1,IFI44L,2.0899855067278732e-06,0.0,0,False,False
AC106845.1,ADGRL4,2.2006323324534124e-05,1.7875770798280008e-05,0,False,False
AC106845.1,LINC01781,4.375561316288552e-06,9.249159396554133e-06,0,False,False
AC106845.1,CDC14A,1.3293354339631541e-05,2.7544202276320243e-07,0,False,False
AC106845.1,NTNG1,2.3397163310504225e-05,4.0078414669086555e-05,0,True,False
AC106845.1,AL445426.1,2.5060240510467747e-05,2.691646908077409e-05,0,False,False
AC106845.1,ATP1A2,2.0754282455360524e-05,1.041544736912119e-05,0,False,False
AC106845.1,HSPA6,3.2875081940021897e-07,1.3741809356883647e-06,0,False,False
AC106845.1,PRRX1,1.1700297346782909e-05,7.042480095994235e-06,0,False,False
AC106845.1,BX284613.2,2.7978877252670438e-05,4.941245249328715e-06,0,True,False
AC106845.1,FMO2,4.129456855090601e-07,0.0,0,False,False
AC106845.1,AL136114.1,2.5814122741858412e-05,7.793053812495157e-06,0,False,False
AC106845.1,LINC01344,2.2165318241233613e-05,1.4329033890101847e-05,0,False,False
AC106845.1,ERVMER61-1,3.651718103606536e-05,1.0216377850918158e-05,0,True,False
AC106845.1,LINC01035,9.412008691971114e-06,4.812134371909522e-07,0,False,False
AC106845.1,AL138927.1,1.8148922687422394e-05,1.9029048512231423e-06,0,False,False
AC106845.1,RGS1,5.282398208747713e-07,0.0,0,False,False
AC106845.1,AL136456.1,3.0155255718215454e-05,1.0230386150508854e-05,0,True,False
AC106845.1,AL353072.2,1.0028690384369467e-05,3.497936422385017e-06,0,False,False
AC106845.1,CFH,6.706087913290522e-06,3.764453616495493e-07,0,False,False
AC106845.1,AL450352.1,2.1177375201659744e-05,1.962757449967699e-06,0,False,False
AC106845.1,PTPRC,1.5062158736513159e-05,7.152462137999568e-07,0,False,False
AC106845.1,CHI3L1,2.5321093835558786e-05,1.673699468688147e-05,0,False,False
AC106845.1,AC096637.1,2.0290454475408684e-06,0.0,0,False,False
AC106845.1,AL356108.1,2.689654088304191e-05,8.840979626732915e-06,0,False,False
AC106845.1,AL392172.2,2.4542831299037728e-06,0.0,0,False,False
AC106845.1,ITPKB,2.6507223676756494e-05,2.8384643340488183e-05,0,True,False
AC106845.1,PLD5,2.7457458223459385e-05,2.721531202841635e-05,0,True,False
AC106845.1,SNTG2,2.1463217134918506e-05,1.0248799513285206e-05,0,False,False
AC106845.1,MIR3681HG,2.985587864778998e-05,5.2518901073542074e-06,0,True,False
AC106845.1,AC064875.1,1.9746728512983487e-05,2.3716948003049804e-06,0,False,False
AC106845.1,AC093912.1,1.3077575101807289e-05,9.738843362651648e-07,0,False,False
AC106845.1,LINC00276,2.642659682816882e-05,1.3003022463097787e-05,0,False,False
AC106845.1,AC018742.1,1.835021820433269e-05,1.4240885182669025e-06,0,False,False
AC106845.1,AC096570.1,2.8899921216214882e-05,2.1140697518456088e-05,0,True,False
AC106845.1,ALK,2.338471266315936e-05,2.460414860047303e-05,0,False,False
AC106845.1,LINC01320,2.6265895668685442e-05,2.4885280097100922e-05,0,False,False
AC106845.1,AC079352.1,1.679429585794646e-05,4.674644676934323e-07,0,False,False
AC106845.1,FSHR,2.221260455952716e-05,8.47765934502423e-06,0,False,False
AC106845.1,AC007402.1,2.640767238617349e-05,2.1153467070489665e-05,0,False,False
AC106845.1,AC010967.1,1.7209538297687946e-05,2.53984253706688e-05,0,False,False
AC106845.1,EFEMP1,4.183373257175696e-06,5.364346413029582e-07,0,False,False
AC106845.1,TACR1,2.6949810659358745e-05,2.6633874686917592e-05,0,False,False
AC106845.1,AC073091.3,2.2672581109684043e-05,2.0945386883877426e-05,0,False,False
AC106845.1,AC012494.1,3.0495707587888597e-05,2.444340678418975e-05,0,True,False
AC106845.1,SMYD1,4.994067858206108e-06,0.0,0,False,False
AC106845.1,IL1RL1,1.4493917590197252e-06,0.0,0,False,False
AC106845.1,LINC01885,2.1961015465696888e-05,1.913410291908518e-05,0,False,False
AC106845.1,MERTK,2.423345613712339e-05,5.277409566811978e-06,0,False,False
AC106845.1,IL1B,4.586869166517744e-07,0.0,0,False,False
AC106845.1,MARCO,2.4932031864205337e-06,0.0,0,False,False
AC106845.1,AC011246.1,2.578634315792047e-05,2.0469064006220317e-05,0,False,False
AC106845.1,GPR17,7.632453462622147e-07,0.0,0,False,False
AC106845.1,NCKAP5,2.236203366678359e-05,1.6252755992345127e-05,0,False,False
AC106845.1,THSD7B,2.616965806746706e-05,2.306072533833709e-06,0,False,False
AC106845.1,NXPH2,6.636706880550376e-06,1.978735910016673e-06,0,False,False
AC106845.1,AC013265.1,1.2647659222591533e-05,1.7810704697342377e-05,0,False,False
AC106845.1,KYNU,4.250896917608547e-06,5.364346413029582e-07,0,False,False
AC106845.1,ARHGAP15,2.7323778070110297e-05,1.3974185699154501e-05,0,True,False
AC106845.1,AC079793.1,1.9452854452566145e-05,1.0145596291828394e-05,0,False,False
AC106845.1,TEX41,2.6601427665187953e-05,2.2563694657217315e-05,0,False,False
AC106845.1,AC079163.2,1.4561465210966404e-05,1.0436100685506991e-05,0,False,False
AC106845.1,AC105402.3,2.3655124353749045e-05,1.5177020129383924e-05,0,False,False
AC106845.1,LINC01931,2.9890306879669693e-05,2.0620847834458244e-05,0,True,False
AC106845.1,AC073225.1,1.1287184428585199e-05,3.5870339994499197e-06,0,False,False
AC106845.1,LINC01876,2.480081336694193e-05,1.4531588903301633e-05,0,False,False
AC106845.1,AC016766.1,2.4041058269566356e-05,1.2781530135940194e-05,0,False,False
AC106845.1,LRP2,1.8217301279278494e-05,4.42011175641829e-06,0,False,False
AC106845.1,SCHLAP1,1.997148632845328e-05,1.559392258737783e-05,0,False,False
AC106845.1,AC007319.1,2.9498228179568984e-05,9.421124841653744e-06,0,True,False
AC106845.1,CALCRL,2.057369072418584e-05,1.2094955558430535e-05,0,False,False
AC106845.1,LINC01090,2.2846507348988438e-05,7.816450697101734e-06,0,False,False
AC106845.1,COL5A2,2.630911202728274e-05,2.497462063365198e-05,0,False,False
AC106845.1,PARD3B,3.111935762581893e-05,1.8731138422828915e-05,0,True,False
AC106845.1,ERBB4,2.511101068159454e-05,2.5391498910425744e-05,0,False,False
AC106845.1,SPHKAP,2.26680526687555e-05,5.413237438782201e-06,0,False,False
AC106845.1,LINC01266,2.5748779453158157e-05,1.8733089837235363e-05,0,False,False
AC106845.1,LMCD1,1.726682052762675e-05,6.907447433692922e-06,0,False,False
AC106845.1,KCNH8,2.149026881249242e-05,3.3700799143444065e-06,0,False,False
AC106845.1,SGO1-AS1,2.5726514852104462e-05,1.3725390573575726e-05,0,False,False
AC106845.1,ZNF385D,2.372914251022779e-05,1.7623997669795878e-05,0,False,False
AC106845.1,TGFBR2,1.8951255140341438e-06,3.5779011869773815e-06,0,False,False
AC106845.1,MOBP,2.3993345282401512e-05,4.601187358599437e-05,0,True,False
AC106845.1,LINC00698,1.1802933491494791e-05,3.912231629819204e-06,0,False,False
AC106845.1,ADAMTS9,1.6062911148932175e-05,1.4686563042865905e-05,0,False,False
