regulator,mag_c0,mag_c1,ratio_c0_over_c1,louder,is_top20
PRDM16,0.09693491,0.08468625,1.1446357,c0,False
RNF220,0.07943227,0.062368803,1.2735898,c0,False
AL358075.2,0.1179491,0.10373334,1.1370413,c0,False
NFIA,0.038162965,0.034628198,1.1020777,c0,False
ROR1,0.071925595,0.060969286,1.1797022,c0,False
PTGER3,0.013298038,0.0048358385,2.749893,c0,False
AL591463.1,0.06504598,0.04979597,1.30625,c0,False
IFI44L,0.00037752558,0.00014781786,2.5539916,c0,False
ADGRL4,0.005857715,0.0028920653,2.0254436,c0,False
LINC01781,0.0015767609,0.00092050375,1.7129326,c0,False
CDC14A,0.0030135633,0.0022394252,1.3456861,c0,False
NTNG1,0.02553431,0.008638243,2.955961,c0,False
AL445426.1,0.044651262,0.03299435,1.3533003,c0,False
ATP1A2,0.086579844,0.07719082,1.121634,c0,False
HSPA6,0.04905314,0.043130178,1.1373276,c0,False
PRRX1,0.08009445,0.061466902,1.30305,c0,False
BX284613.2,0.0064452356,0.0031639896,2.0370595,c0,False
FMO2,0.00020377236,1.06899115e-05,19.062117,c0,False
AL136114.1,0.013328022,0.0075885057,1.7563435,c0,False
LINC01344,0.05632303,0.048997767,1.1495019,c0,False
ERVMER61-1,0.014184219,0.009117126,1.5557773,c0,False
LINC01035,0.0021522166,0.0008895631,2.4194086,c0,False
AL138927.1,0.010007424,0.0040394906,2.4773977,c0,False
RGS1,0.00012953828,9.4592455e-05,1.3694357,c0,False
AL136456.1,0.013742098,0.005285381,2.6000204,c0,False
AL353072.2,0.005019088,0.0018335925,2.7372973,c0,False
CFH,0.001040296,0.0005920218,1.7571921,c0,False
AL450352.1,0.008089722,0.0018261285,4.429985,c0,True
PTPRC,0.0028879605,0.0012817987,2.2530532,c0,False
CHI3L1,0.005086855,0.0023115189,2.2006547,c0,True
AC096637.1,0.04040634,0.03325058,1.215207,c0,False
AL356108.1,0.0056419633,0.0028943112,1.9493285,c0,False
AL392172.2,0.0009966216,0.00062877586,1.5850188,c0,False
ITPKB,0.1830922,0.1546388,1.1839992,c0,False
PLD5,0.0126301795,0.0071171564,1.7746104,c0,False
SNTG2,0.019956637,0.014707893,1.3568658,c0,False
MIR3681HG,0.009501399,0.004722628,2.011888,c0,False
AC064875.1,0.070292376,0.0509057,1.380835,c0,False
AC093912.1,0.06525981,0.049781196,1.3109329,c0,False
LINC00276,0.032115288,0.03177409,1.0107383,c0,False
AC018742.1,0.0058237207,0.0018375295,3.169321,c0,True
AC096570.1,0.020742664,0.0065593286,3.1623151,c0,False
ALK,0.10946193,0.075802684,1.4440377,c0,False
LINC01320,0.017241837,0.010664843,1.6166986,c0,False
AC079352.1,0.006933636,0.002720713,2.5484629,c0,False
FSHR,0.011682124,0.0036507023,3.1999662,c0,True
AC007402.1,0.02027524,0.011638155,1.7421353,c0,False
AC010967.1,0.064465985,0.054534547,1.1821128,c0,False
EFEMP1,0.0026926086,0.0015537131,1.7330153,c0,False
TACR1,0.006609386,0.0022018428,3.001752,c0,False
AC073091.3,0.017640093,0.012869456,1.3706945,c0,False
