subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
Astrocyte,S100Z,0.0633546742488726,491,1,0.01130007766187191,1
Astrocyte,S100Z,0.0633546742488726,491,2,0.039321184158325195,0
Astrocyte,S100Z,0.0633546742488726,491,3,0.05229586735367775,1
Astrocyte,S100Z,0.0633546742488726,491,4,0.027932511642575264,0
Astrocyte,S100Z,0.0633546742488726,491,5,0.03977340832352638,0
Astrocyte,S100Z,0.0633546742488726,491,6,0.029007190838456154,0
Astrocyte,S100Z,0.0633546742488726,491,7,0.028995096683502197,0
Astrocyte,S100Z,0.0633546742488726,491,8,0.021182749420404434,0
Astrocyte,S100Z,0.0633546742488726,491,9,0.061669908463954926,0
Astrocyte,S100Z,0.0633546742488726,491,10,0.06115998700261116,0
Astrocyte,S100Z,0.0633546742488726,491,11,0.04555317386984825,0
Astrocyte,S100Z,0.0633546742488726,491,12,0.04232845455408096,0
Astrocyte,S100Z,0.0633546742488726,491,13,0.05607901141047478,0
Astrocyte,S100Z,0.0633546742488726,491,14,0.08065362274646759,0
Astrocyte,S100Z,0.0633546742488726,491,15,0.0754622220993042,0
Astrocyte,S100Z,0.0633546742488726,491,16,0.07504366338253021,0
Astrocyte,S100Z,0.0633546742488726,491,17,0.05102057009935379,0
Astrocyte,S100Z,0.0633546742488726,491,18,0.06570722162723541,0
Astrocyte,S100Z,0.0633546742488726,491,19,0.08178982883691788,0
Astrocyte,S100Z,0.0633546742488726,491,20,0.05372433736920357,0
Astrocyte,CYSLTR2,0.0562763969776256,460,1,0.014687098562717438,1
Astrocyte,CYSLTR2,0.0562763969776256,460,2,0.06492079049348831,0
Astrocyte,CYSLTR2,0.0562763969776256,460,3,0.07756493240594864,1
Astrocyte,CYSLTR2,0.0562763969776256,460,4,0.03284066542983055,0
Astrocyte,CYSLTR2,0.0562763969776256,460,5,0.04343239590525627,0
Astrocyte,CYSLTR2,0.0562763969776256,460,6,0.04099278897047043,0
Astrocyte,CYSLTR2,0.0562763969776256,460,7,0.03490607440471649,0
Astrocyte,CYSLTR2,0.0562763969776256,460,8,0.07900843024253845,0
Astrocyte,CYSLTR2,0.0562763969776256,460,9,0.039404068142175674,0
Astrocyte,CYSLTR2,0.0562763969776256,460,10,0.038176778703927994,0
Astrocyte,CYSLTR2,0.0562763969776256,460,11,0.04208850488066673,0
Astrocyte,CYSLTR2,0.0562763969776256,460,12,0.07051286101341248,0
Astrocyte,CYSLTR2,0.0562763969776256,460,13,0.04612218961119652,0
Astrocyte,CYSLTR2,0.0562763969776256,460,14,0.07757744193077087,0
Astrocyte,CYSLTR2,0.0562763969776256,460,15,0.07524293661117554,0
Astrocyte,CYSLTR2,0.0562763969776256,460,16,0.03226826339960098,0
Astrocyte,CYSLTR2,0.0562763969776256,460,17,0.035403382033109665,0
Astrocyte,CYSLTR2,0.0562763969776256,460,18,0.029353030025959015,0
Astrocyte,CYSLTR2,0.0562763969776256,460,19,0.06763560324907303,0
Astrocyte,CYSLTR2,0.0562763969776256,460,20,0.05786183848977089,0
Astrocyte,SST,0.0537855007946889,455,1,0.009016268886625767,1
Astrocyte,SST,0.0537855007946889,455,2,0.03585409000515938,0
Astrocyte,SST,0.0537855007946889,455,3,0.03000294603407383,1
Astrocyte,SST,0.0537855007946889,455,4,0.03689414635300636,0
Astrocyte,SST,0.0537855007946889,455,5,0.05432780086994171,0
Astrocyte,SST,0.0537855007946889,455,6,0.03376610204577446,0
Astrocyte,SST,0.0537855007946889,455,7,0.06291916966438293,0
Astrocyte,SST,0.0537855007946889,455,8,0.02929498255252838,0
Astrocyte,SST,0.0537855007946889,455,9,0.059651512652635574,0
Astrocyte,SST,0.0537855007946889,455,10,0.05915099382400513,0
Astrocyte,SST,0.0537855007946889,455,11,0.03959149122238159,0
Astrocyte,SST,0.0537855007946889,455,12,0.04557379335165024,0
Astrocyte,SST,0.0537855007946889,455,13,0.06330220401287079,0
Astrocyte,SST,0.0537855007946889,455,14,0.05895043537020683,0
Astrocyte,SST,0.0537855007946889,455,15,0.0804814025759697,0
Astrocyte,SST,0.0537855007946889,455,16,0.07084228098392487,0
Astrocyte,SST,0.0537855007946889,455,17,0.07692109048366547,0
