subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max,q_fdr,q_eqsec
Astrocyte,S100Z,491,0.0633546742488726,0.0211218087133496,0.003,0.0579378355167495,0.005,15,63,1720,17,-0.0374999999999994,0.0346718938053604,0.1627772164582618,0.0466875,0.2867272727272727
Astrocyte,CYSLTR2,460,0.0562763969776256,0.0174493098320977,0.038,0.0745505550532347,0.011,7,12,1720,17,-0.0204839367801782,0.0996415564398291,0.1619496855345951,0.13141666666666665,0.2867272727272727
Astrocyte,SST,455,0.0537855007946889,0.0257632810716187,0.01,0.0259860714630845,0.27,10,52,1720,17,-0.0266083934801283,-0.0154761904761908,0.1511111111111136,0.0655263157894737,0.49252747252747253
Astrocyte,LINC01324,474,0.049535844446251,0.022855845187151,0.077,0.0445979029800036,0.095,9,24,1720,17,-0.0166666666666661,0.0627689724201431,0.1448412698412676,0.19664615384615383,0.3428260869565218
Astrocyte,AC128685.1,489,0.048929089854256,0.0227612406455024,0.014,0.0541980680756985,0.009,12,48,1720,17,-0.0299409927865243,0.0396088533302859,0.1542553191489374,0.084,0.2867272727272727
Astrocyte,KIT,490,0.0488210891340117,0.0222625653379931,0.002,0.0359909438958399,0.006,17,375,1720,17,-0.0411547412847215,0.0379977231252137,0.1092158222021466,0.043304347826086956,0.2867272727272727
Astrocyte,LINC02008,498,0.0482940247580672,0.0220548578358323,0.001,0.0314699322437654,0.017,17,369,1720,17,-0.0180404572107637,0.0354694723285288,0.1080180082299613,0.03557142857142857,0.2867272727272727
Astrocyte,LINC01781,485,0.04728520608019,0.0099833318865095,0.038,0.051778542674933,0.031,7,16,1720,17,-0.0303030303030296,0.0175712421130958,0.1589147286821699,0.13141666666666665,0.328468085106383
Astrocyte,AC023503.1,483,0.0449149852706398,0.0271939097970573,0.05,0.0519078218428254,0.019,10,73,1720,17,-0.0074310145433881,0.0582232181236184,0.159118647358727,0.15276073619631902,0.2867272727272727
Astrocyte,AL355672.1,497,0.0426259581951918,0.0236916290434462,0.009,0.0348255181381584,0.031,16,144,1720,17,-0.0294881128595958,0.0351193862484516,0.142522432780782,0.0655263157894737,0.328468085106383
Astrocyte,AC092131.1,496,0.0423563108138355,0.0202303279973114,0.001,0.0296890793631051,0.017,17,547,1720,17,-0.0281222254676789,0.0296445802261173,0.1065668237937774,0.03557142857142857,0.2867272727272727
Astrocyte,RERGL,498,0.0423231689561105,0.0238446239596613,0.004,0.0215516008576631,0.282,17,385,1720,17,-0.0377809380339428,0.0319673229710456,0.0838518935151636,0.051076923076923075,0.49799999999999994
Astrocyte,AL355612.1,495,0.0422460009162534,0.0214697202340229,0.002,0.0348114445934062,0.006,17,511,1720,17,-0.0205906974295342,0.0412581024607972,0.0887549001211569,0.043304347826086956,0.2867272727272727
Astrocyte,AC013265.1,490,0.0422447322248952,0.0204298023954481,0.073,0.0201748667642337,0.391,10,27,1720,17,-0.0310077519379851,-0.0101797505502575,0.1160830588973307,0.19033507853403142,0.5829880239520958
Astrocyte,LINC01374,498,0.0394691240747899,0.0219487994749392,0.003,0.0298757985638842,0.057,17,283,1720,17,-0.0287464070069593,0.0256653191468073,0.1009293694354153,0.0466875,0.32868
Astrocyte,ADH1B,443,0.0389270653034777,0.016339688319918,0.095,0.0448817740938504,0.101,8,28,1720,17,-0.0349699881968249,0.0256397501015354,0.1639397047347773,0.22316037735849056,0.35173426573426575
Astrocyte,LINC02211,484,0.0388869167094747,0.0156894334215082,0.01,0.0266152096709887,0.136,16,131,1720,17,-0.0500156608094376,0.0200252083224337,0.0867586614660465,0.0655263157894737,0.38049438202247193
Astrocyte,CALCRL,499,0.0386038378102103,0.0206046732035061,0.001,0.0298112562375595,0.006,17,859,1720,17,-0.0236578801267939,0.0326668571926832,0.087745881510778,0.03557142857142857,0.2867272727272727
Astrocyte,LINC02307,497,0.038245824260799,0.0194103650807579,0.001,0.0317721731687654,0.017,17,414,1720,17,-0.0162917724751408,0.0227947112923338,0.1015573046730232,0.03557142857142857,0.2867272727272727
Astrocyte,AC097528.1,494,0.0375767565400737,0.0210677498673035,0.065,0.0418319616002472,0.028,15,80,1720,17,-0.0261560397945183,0.0366420123916243,0.1458333333333338,0.18083798882681568,0.328468085106383
Astrocyte,AC022655.1,492,0.0375462286950882,0.0161554659853766,0.017,0.0440422331782803,0.013,16,120,1720,17,-0.0411461952674496,0.0311535818723584,0.1591166124195157,0.0920217391304348,0.2867272727272727
Astrocyte,IL1B,413,0.0372050326691518,0.010095345629123,0.276,0.0370396026902718,0.285,3,3,1720,17,-0.0271317829457371,-0.0106382978723388,0.1488888888888914,0.4229169230769231,0.4997473684210526
Astrocyte,LINC00343,499,0.0371917454553217,0.0201361074091417,0.01,0.0250189493808884,0.152,17,297,1720,17,-0.0483512869629523,0.0219772210458209,0.0775444948181954,0.0655263157894737,0.38515270935960594
Astrocyte,NPSR1-AS1,499,0.0368613707209484,0.0215296738798851,0.011,0.0335913624000645,0.018,17,400,1720,17,-0.0303030303030296,0.0434042653034644,0.0939114160074645,0.068475,0.2867272727272727
