motif_id,peak
M00011,chr10:126634898-126635741
M00078,chr10:126634898-126635741
M00079,chr10:126634898-126635741
M00081,chr10:126634898-126635741
M00082,chr10:126634898-126635741
M00086,chr10:126634898-126635741
M00087,chr10:126634898-126635741
M00088,chr10:126634898-126635741
M00141,chr10:126634898-126635741
M00261,chr10:126634898-126635741
M00271,chr10:126634898-126635741
M00448,chr10:126634898-126635741
M00616,chr10:126634898-126635741
M00639,chr10:126634898-126635741
M00679,chr10:126634898-126635741
M00731,chr10:126634898-126635741
M00751,chr10:126634898-126635741
M00769,chr10:126634898-126635741
M00771,chr10:126634898-126635741
M00805,chr10:126634898-126635741
M00971,chr10:126634898-126635741
M00975,chr10:126634898-126635741
M00977,chr10:126634898-126635741
M00978,chr10:126634898-126635741
M00984,chr10:126634898-126635741
M01014,chr10:126634898-126635741
M01022,chr10:126634898-126635741
M01037,chr10:126634898-126635741
M01079,chr10:126634898-126635741
M01080,chr10:126634898-126635741
M01169,chr10:126634898-126635741
M01208,chr10:126634898-126635741
M01231,chr10:126634898-126635741
M01262,chr10:126634898-126635741
M01348,chr10:126634898-126635741
M01596,chr10:126634898-126635741
M01657,chr10:126634898-126635741
M01658,chr10:126634898-126635741
M01704,chr10:126634898-126635741
M01752,chr10:126634898-126635741
M01809,chr10:126634898-126635741
M01856,chr10:126634898-126635741
M01871,chr10:126634898-126635741
M01892,chr10:126634898-126635741
M01985,chr10:126634898-126635741
M02002,chr10:126634898-126635741
M02019,chr10:126634898-126635741
M02038,chr10:126634898-126635741
M02062,chr10:126634898-126635741
M02073,chr10:126634898-126635741
M02084,chr10:126634898-126635741
M02267,chr10:126634898-126635741
M02371,chr10:126634898-126635741
M02774,chr10:126634898-126635741
M02835,chr10:126634898-126635741
M02878,chr10:126634898-126635741
M02939,chr10:126634898-126635741
M03155,chr10:126634898-126635741
M03560,chr10:126634898-126635741
M03794,chr10:126634898-126635741
M03829,chr10:126634898-126635741
M03857,chr10:126634898-126635741
M03888,chr10:126634898-126635741
M03905,chr10:126634898-126635741
M03930,chr10:126634898-126635741
M03955,chr10:126634898-126635741
M03964,chr10:126634898-126635741
M03975,chr10:126634898-126635741
M03976,chr10:126634898-126635741
M03988,chr10:126634898-126635741
M03989,chr10:126634898-126635741
M04003,chr10:126634898-126635741
M04056,chr10:126634898-126635741
M04106,chr10:126634898-126635741
M04107,chr10:126634898-126635741
M04108,chr10:126634898-126635741
M04432,chr10:126634898-126635741
M04630,chr10:126634898-126635741
M04633,chr10:126634898-126635741
M04729,chr10:126634898-126635741
M04924,chr10:126634898-126635741
M05489,chr10:126634898-126635741
M05603,chr10:126634898-126635741
M05713,chr10:126634898-126635741
M05714,chr10:126634898-126635741
M05946,chr10:126634898-126635741
M05962,chr10:126634898-126635741
M06019,chr10:126634898-126635741
M06021,chr10:126634898-126635741
M06042,chr10:126634898-126635741
M06043,chr10:126634898-126635741
M06044,chr10:126634898-126635741
M06048,chr10:126634898-126635741
M06049,chr10:126634898-126635741
M06051,chr10:126634898-126635741
M06084,chr10:126634898-126635741
M06946,chr10:126634898-126635741
M06950,chr10:126634898-126635741
M07046,chr10:126634898-126635741
M07088,chr10:126634898-126635741
M07089,chr10:126634898-126635741
M07124,chr10:126634898-126635741
M07128,chr10:126634898-126635741
M07207,chr10:126634898-126635741
M07242,chr10:126634898-126635741
M07260,chr10:126634898-126635741
M07276,chr10:126634898-126635741
M07284,chr10:126634898-126635741
M07292,chr10:126634898-126635741
M07344,chr10:126634898-126635741
M07351,chr10:126634898-126635741
M07357,chr10:126634898-126635741
M07382,chr10:126634898-126635741
M07411,chr10:126634898-126635741
M07433,chr10:126634898-126635741
M07604,chr10:126634898-126635741
M07605,chr10:126634898-126635741
M07968,chr10:126634898-126635741
M07969,chr10:126634898-126635741
M08008,chr10:126634898-126635741
M08281,chr10:126634898-126635741
M08282,chr10:126634898-126635741
M08283,chr10:126634898-126635741
M08284,chr10:126634898-126635741
M08285,chr10:126634898-126635741
M08289,chr10:126634898-126635741
M08445,chr10:126634898-126635741
M08468,chr10:126634898-126635741
M08469,chr10:126634898-126635741
M08470,chr10:126634898-126635741
M08471,chr10:126634898-126635741
M08481,chr10:126634898-126635741
M08487,chr10:126634898-126635741
M08510,chr10:126634898-126635741
M08574,chr10:126634898-126635741
M08637,chr10:126634898-126635741
M08656,chr10:126634898-126635741
M08741,chr10:126634898-126635741
M08766,chr10:126634898-126635741
M08785,chr10:126634898-126635741
M08792,chr10:126634898-126635741
M08793,chr10:126634898-126635741
M08794,chr10:126634898-126635741
M08835,chr10:126634898-126635741
M08865,chr10:126634898-126635741
M08866,chr10:126634898-126635741
M08880,chr10:126634898-126635741
M08881,chr10:126634898-126635741
M08899,chr10:126634898-126635741
M08902,chr10:126634898-126635741
M08913,chr10:126634898-126635741
M08948,chr10:126634898-126635741
M08975,chr10:126634898-126635741
M09275,chr10:126634898-126635741
M09598,chr10:126634898-126635741
M09608,chr10:126634898-126635741
M09613,chr10:126634898-126635741
M09653,chr10:126634898-126635741
M09679,chr10:126634898-126635741
M09685,chr10:126634898-126635741
M09885,chr10:126634898-126635741
M09907,chr10:126634898-126635741
M09920,chr10:126634898-126635741
M09949,chr10:126634898-126635741
M09975,chr10:126634898-126635741
M10052,chr10:126634898-126635741
M10053,chr10:126634898-126635741
M10091,chr10:126634898-126635741
M10198,chr10:126634898-126635741
M10222,chr10:126634898-126635741
M10234,chr10:126634898-126635741
M10262,chr10:126634898-126635741
M10281,chr10:126634898-126635741
M10348,chr10:126634898-126635741
M10360,chr10:126634898-126635741
M00011,chr10:126917385-126918582
M00078,chr10:126917385-126918582
M00079,chr10:126917385-126918582
M00080,chr10:126917385-126918582
M00081,chr10:126917385-126918582
M00082,chr10:126917385-126918582
M00086,chr10:126917385-126918582
M00087,chr10:126917385-126918582
M00088,chr10:126917385-126918582
M00141,chr10:126917385-126918582
M00261,chr10:126917385-126918582
M00271,chr10:126917385-126918582
M00448,chr10:126917385-126918582
M00616,chr10:126917385-126918582
M00639,chr10:126917385-126918582
M00731,chr10:126917385-126918582
M00751,chr10:126917385-126918582
M00769,chr10:126917385-126918582
M00771,chr10:126917385-126918582
M00805,chr10:126917385-126918582
M00971,chr10:126917385-126918582
M00975,chr10:126917385-126918582
M00977,chr10:126917385-126918582
M00978,chr10:126917385-126918582
M00984,chr10:126917385-126918582
M01014,chr10:126917385-126918582
M01022,chr10:126917385-126918582
M01037,chr10:126917385-126918582
M01079,chr10:126917385-126918582
M01080,chr10:126917385-126918582
M01169,chr10:126917385-126918582
M01208,chr10:126917385-126918582
M01231,chr10:126917385-126918582
M01262,chr10:126917385-126918582
M01596,chr10:126917385-126918582
M01657,chr10:126917385-126918582
M01658,chr10:126917385-126918582
M01704,chr10:126917385-126918582
M01752,chr10:126917385-126918582
M01809,chr10:126917385-126918582
M01856,chr10:126917385-126918582
M01871,chr10:126917385-126918582
M01892,chr10:126917385-126918582
M01985,chr10:126917385-126918582
M02002,chr10:126917385-126918582
M02019,chr10:126917385-126918582
M02038,chr10:126917385-126918582
M02062,chr10:126917385-126918582
M02073,chr10:126917385-126918582
M02084,chr10:126917385-126918582
M02267,chr10:126917385-126918582
M02371,chr10:126917385-126918582
M02774,chr10:126917385-126918582
M02835,chr10:126917385-126918582
M02878,chr10:126917385-126918582
M02893,chr10:126917385-126918582
M02939,chr10:126917385-126918582
M03155,chr10:126917385-126918582
M03794,chr10:126917385-126918582
M03829,chr10:126917385-126918582
M03857,chr10:126917385-126918582
M03888,chr10:126917385-126918582
M03905,chr10:126917385-126918582
M03930,chr10:126917385-126918582
M03955,chr10:126917385-126918582
M03964,chr10:126917385-126918582
M03975,chr10:126917385-126918582
M03976,chr10:126917385-126918582
M03988,chr10:126917385-126918582
M03989,chr10:126917385-126918582
M04003,chr10:126917385-126918582
M04056,chr10:126917385-126918582
M04100,chr10:126917385-126918582
M04107,chr10:126917385-126918582
M04108,chr10:126917385-126918582
M04431,chr10:126917385-126918582
M04432,chr10:126917385-126918582
M04630,chr10:126917385-126918582
M04633,chr10:126917385-126918582
M04729,chr10:126917385-126918582
M04924,chr10:126917385-126918582
M05489,chr10:126917385-126918582
M05603,chr10:126917385-126918582
M05713,chr10:126917385-126918582
M05714,chr10:126917385-126918582
M05946,chr10:126917385-126918582
M05962,chr10:126917385-126918582
M06019,chr10:126917385-126918582
M06021,chr10:126917385-126918582
M06042,chr10:126917385-126918582
M06043,chr10:126917385-126918582
M06044,chr10:126917385-126918582
M06048,chr10:126917385-126918582
M06049,chr10:126917385-126918582
M06051,chr10:126917385-126918582
M06084,chr10:126917385-126918582
M06946,chr10:126917385-126918582
M06950,chr10:126917385-126918582
M07046,chr10:126917385-126918582
M07088,chr10:126917385-126918582
M07089,chr10:126917385-126918582
M07124,chr10:126917385-126918582
M07128,chr10:126917385-126918582
M07207,chr10:126917385-126918582
