target_gene,peak,spearman_r,TF
PRDM16,chr1:2925132-2931310,-0.2431527800983612,MECOM
PRDM16,chr1:2925132-2931310,-0.2431527800983612,IKZF1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,EBF1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,RUNX1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ZIC1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ZFHX3
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ONECUT1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,TLL1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,RUNX2
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ERG
PRDM16,chr1:2925132-2931310,-0.2431527800983612,FLI1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,LEF1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,RFX4
PRDM16,chr1:2925132-2931310,-0.2431527800983612,SOX6
PRDM16,chr1:2925132-2931310,-0.2431527800983612,GLI3
PRDM16,chr1:2925132-2931310,-0.2431527800983612,GLIS3
PRDM16,chr1:2925132-2931310,-0.2431527800983612,TBX18
PRDM16,chr1:2925132-2931310,-0.2431527800983612,PRRX1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,RIT2
PRDM16,chr1:2925132-2931310,-0.2431527800983612,TAC1
PRDM16,chr1:2925132-2931310,-0.2431527800983612,NFIA
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ZNF98
PRDM16,chr1:2925132-2931310,-0.2431527800983612,ZNF208
PRDM16,chr1:2925132-2931310,-0.2431527800983612,HIF3A
PRDM16,chr1:2925132-2931310,-0.2431527800983612,EYA1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,MECOM
PRDM16,chr1:2909922-2915559,-0.19314237365941403,IKZF1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,EBF1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,RUNX1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ZIC1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ZFHX3
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ONECUT1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,TLL1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,RUNX2
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ERG
PRDM16,chr1:2909922-2915559,-0.19314237365941403,FLI1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,LEF1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,RFX4
PRDM16,chr1:2909922-2915559,-0.19314237365941403,SOX6
PRDM16,chr1:2909922-2915559,-0.19314237365941403,GLI3
PRDM16,chr1:2909922-2915559,-0.19314237365941403,GLIS3
PRDM16,chr1:2909922-2915559,-0.19314237365941403,TBX18
PRDM16,chr1:2909922-2915559,-0.19314237365941403,PRRX1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,RIT2
PRDM16,chr1:2909922-2915559,-0.19314237365941403,TAC1
PRDM16,chr1:2909922-2915559,-0.19314237365941403,NFIA
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ZNF98
PRDM16,chr1:2909922-2915559,-0.19314237365941403,ZNF208
PRDM16,chr1:2909922-2915559,-0.19314237365941403,HIF3A
PRDM16,chr1:2909922-2915559,-0.19314237365941403,EYA1
RNF220,chr1:44500172-44502362,0.15890355735461298,MECOM
RNF220,chr1:44500172-44502362,0.15890355735461298,IKZF1
RNF220,chr1:44500172-44502362,0.15890355735461298,EBF1
RNF220,chr1:44500172-44502362,0.15890355735461298,RUNX1
RNF220,chr1:44500172-44502362,0.15890355735461298,ZIC1
RNF220,chr1:44500172-44502362,0.15890355735461298,ZFHX3
RNF220,chr1:44500172-44502362,0.15890355735461298,ONECUT1
RNF220,chr1:44500172-44502362,0.15890355735461298,TLL1
RNF220,chr1:44500172-44502362,0.15890355735461298,RUNX2
RNF220,chr1:44500172-44502362,0.15890355735461298,ERG
RNF220,chr1:44500172-44502362,0.15890355735461298,FLI1
RNF220,chr1:44500172-44502362,0.15890355735461298,LEF1
RNF220,chr1:44500172-44502362,0.15890355735461298,RFX4
RNF220,chr1:44500172-44502362,0.15890355735461298,SOX6
RNF220,chr1:44500172-44502362,0.15890355735461298,GLI3
RNF220,chr1:44500172-44502362,0.15890355735461298,GLIS3
RNF220,chr1:44500172-44502362,0.15890355735461298,TBX18
RNF220,chr1:44500172-44502362,0.15890355735461298,PRRX1
RNF220,chr1:44500172-44502362,0.15890355735461298,RIT2
RNF220,chr1:44500172-44502362,0.15890355735461298,TAC1
RNF220,chr1:44500172-44502362,0.15890355735461298,NFIA
RNF220,chr1:44500172-44502362,0.15890355735461298,PRDM16
RNF220,chr1:44500172-44502362,0.15890355735461298,ZNF98
RNF220,chr1:44500172-44502362,0.15890355735461298,ZNF208
RNF220,chr1:44500172-44502362,0.15890355735461298,HIF3A
RNF220,chr1:44500172-44502362,0.15890355735461298,EYA1
RNF220,chr1:44404877-44409048,0.17329188850413096,MECOM
RNF220,chr1:44404877-44409048,0.17329188850413096,IKZF1
RNF220,chr1:44404877-44409048,0.17329188850413096,EBF1
RNF220,chr1:44404877-44409048,0.17329188850413096,RUNX1
RNF220,chr1:44404877-44409048,0.17329188850413096,ZIC1
RNF220,chr1:44404877-44409048,0.17329188850413096,ZFHX3
RNF220,chr1:44404877-44409048,0.17329188850413096,ONECUT1
RNF220,chr1:44404877-44409048,0.17329188850413096,TLL1
RNF220,chr1:44404877-44409048,0.17329188850413096,RUNX2
RNF220,chr1:44404877-44409048,0.17329188850413096,ERG
RNF220,chr1:44404877-44409048,0.17329188850413096,FLI1
RNF220,chr1:44404877-44409048,0.17329188850413096,LEF1
RNF220,chr1:44404877-44409048,0.17329188850413096,RFX4
RNF220,chr1:44404877-44409048,0.17329188850413096,SOX6
RNF220,chr1:44404877-44409048,0.17329188850413096,GLI3
RNF220,chr1:44404877-44409048,0.17329188850413096,GLIS3
RNF220,chr1:44404877-44409048,0.17329188850413096,TBX18
